Location,Diabetes ,Poor Mental Health,Obesity,Cardiovascular Disease
United States,0.1028,0.3374,0.6384,0.0222
Alabama,0.1383,0.3476,0.6817,0.0287
Alaska,0.0706,0.3267,0.6606,0.0165
Arizona,0.1066,0.3516,0.6182,0.0178
Arkansas,0.1151,0.3594,0.6989,0.0247
California,0.1017,0.3679,0.6013,0.0154
Colorado,0.0647,0.3531,0.5636,0.0155
Connecticut,0.0833,0.3485,0.6255,0.0194
Delaware,0.1109,0.3293,0.6457,0.021
District of Columbia,0.078,0.373,0.5376,0.0138
Florida,0.1117,0.342,0.6277,0.0293
Georgia,0.108,0.3159,0.6569,0.0202
Hawaii,0.0838,0.2753,0.5535,0.014
Idaho,0.0837,0.3666,0.6494,0.019
Illinois,0.0987,0.3846,0.6472,0.0203
Indiana,0.1097,0.3616,0.6726,0.0252
Iowa,0.0934,0.296,0.6701,0.0262
Kansas,0.0955,0.2996,0.6531,0.0224
Kentucky,0.1063,0.37,0.6728,0.0336
Louisiana,0.1163,0.3472,0.6737,0.0265
Maine,0.0965,0.3415,0.6484,0.03
Maryland,0.0981,0.3298,0.6415,0.0162
Massachusetts,0.0853,0.3577,0.58,0.0181
Michigan,0.1036,0.3592,0.6622,0.0283
Minnesota,0.0743,0.301,0.6107,0.0146
Mississippi,0.1287,0.3273,0.6927,0.0266
Missouri,0.096,0.3226,0.6549,0.0265
Montana,0.0767,0.321,0.6136,0.0205
Nebraska,0.0917,0.304,0.6547,0.0221
Nevada,0.096,0.3343,0.6487,0.0159
New Hampshire,0.0917,0.3286,0.6177,0.0235
New Jersey,0.0919,0.3126,0.628,0.0152
New Mexico,0.1074,0.3297,0.6268,0.0189
New York,0.1058,0.3513,0.6131,0.0229
North Carolina,0.1136,0.3041,0.6609,0.0234
North Dakota,0.0891,0.3107,0.6755,0.0229
Ohio,0.1036,0.322,0.6507,0.0282
Oklahoma,0.1104,0.3426,0.679,0.0292
Oregon,0.0917,0.4024,0.5986,0.0218
Pennsylvania,0.1009,0.355,0.6453,0.0265
Rhode Island,0.0927,0.3532,0.6456,0.025
South Carolina,0.1251,0.3391,0.6647,0.0253
South Dakota,0.0907,0.2677,0.6698,0.027
Tennessee,0.1224,0.2852,0.6842,0.0327
Texas,0.1095,0.2815,0.6612,0.0202
Utah,0.0711,0.3854,0.5916,0.0135
Vermont,0.0778,0.3483,0.6186,0.0205
Virginia,0.0984,0.3012,0.6402,0.0183
Washington,0.0857,0.3725,0.6142,0.0183
West Virginia,0.1304,0.3201,0.6879,0.0429
Wisconsin,0.0823,0.3568,0.665,0.0266
Wyoming,0.0863,0.3074,0.6441,0.0218
Guam,0.1407,0.3228,0.6348,NaN
Puerto Rico,0.1488,0.2485,0.6661,0.0244
