Lattitude,Longitude,Restaurant,State
-149.95032,61.13782,BurgerKing,AK
-149.909,61.19542,BurgerKing,AK
-149.88789,61.21743000000001,BurgerKing,AK
-149.86801,61.18736,BurgerKing,AK
-149.86568,61.14431,BurgerKing,AK
-149.83383,61.180719999999994,BurgerKing,AK
-149.81281,61.21526,BurgerKing,AK
-149.77812,61.195980000000006,BurgerKing,AK
-149.57101,61.32533000000001,BurgerKing,AK
-149.8196,61.27584,BurgerKing,AK
-149.71147,61.253859999999996,BurgerKing,AK
-149.12048000000001,61.59984,BurgerKing,AK
-149.43718,60.124869999999994,BurgerKing,AK
-151.0667,60.48356,BurgerKing,AK
-149.41111999999998,61.57675,BurgerKing,AK
-86.81834,33.23805,BurgerKing,AL
-86.20554,34.27663,BurgerKing,AL
-85.95798,32.9207,BurgerKing,AL
-86.51839,31.275940000000002,BurgerKing,AL
-85.82692,33.66802,BurgerKing,AL
-86.50282,34.32445,BurgerKing,AL
-86.97166999999999,34.794579999999996,BurgerKing,AL
-86.93758000000001,34.78223,BurgerKing,AL
-87.49393,31.0223,BurgerKing,AL
-85.50032,32.570370000000004,BurgerKing,AL
-85.48007,32.60521,BurgerKing,AL
-87.78788,30.88477,BurgerKing,AL
-87.18878000000001,33.52026,BurgerKing,AL
-86.99893,33.36156,BurgerKing,AL
-86.96976,33.39602,BurgerKing,AL
-86.88593,33.55352,BurgerKing,AL
-86.87775,33.49596,BurgerKing,AL
-86.84934,33.50523,BurgerKing,AL
-86.83048000000001,33.44168,BurgerKing,AL
-86.82191,33.465579999999996,BurgerKing,AL
-86.80726999999999,33.50398,BurgerKing,AL
-86.78941,33.4487,BurgerKing,AL
-86.73055,33.55953,BurgerKing,AL
-86.72444,33.52463,BurgerKing,AL
-86.70906,33.645759999999996,BurgerKing,AL
-86.70779,33.43034,BurgerKing,AL
-86.6951,33.53131,BurgerKing,AL
-86.69449,33.59616,BurgerKing,AL
-86.66269,33.63605,BurgerKing,AL
-86.62264,33.63905,BurgerKing,AL
-86.719665,33.530434,BurgerKing,AL
-86.14672,34.1885,BurgerKing,AL
-87.06889,31.134829999999997,BurgerKing,AL
-85.70281,34.157959999999996,BurgerKing,AL
-87.14701,32.944590000000005,BurgerKing,AL
-88.08323,30.76646,BurgerKing,AL
-86.34987,33.26282,BurgerKing,AL
-86.58613000000001,32.80285,BurgerKing,AL
-86.843452,34.17437,BurgerKing,AL
-86.82636,34.168420000000005,BurgerKing,AL
-87.91265,30.65172,BurgerKing,AL
-87.852242,30.655989,BurgerKing,AL
-87.02059,34.57969,BurgerKing,AL
-86.97348000000001,34.566390000000006,BurgerKing,AL
-86.93649,34.54787,BurgerKing,AL
-86.91389000000001,34.53839,BurgerKing,AL
-85.43196,31.22745,BurgerKing,AL
